,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Boa Vista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,3.142857142857143,1.7142857142857142,1.4285714285714286,0.14285714285714285,0.2857142857142857,0.14285714285714285,1.2857142857142858,0.42857142857142855,0.2857142857142857,1.0,1.1428571428571428,0.8571428571428571,1.8571428571428572,0.7142857142857143
Alagoinha,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.4285714285714286,2.7142857142857144,8.428571428571429,6.142857142857143,10.142857142857142,8.285714285714286,9.428571428571429,20.571428571428573,12.571428571428571,7.142857142857143,5.857142857142857,14.0,8.142857142857142,7.714285714285714,9.285714285714286,3.5714285714285716
Pedro Régis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,-0.14285714285714285,1.4285714285714286,2.0,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.14285714285714285
Alcantil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.2857142857142857,1.7142857142857142,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.7142857142857143,1.1428571428571428,2.142857142857143,0.42857142857142855,0.2857142857142857,0.5714285714285714
Campina Grande,0.2857142857142857,0.14285714285714285,0.14285714285714285,2.857142857142857,3.857142857142857,3.857142857142857,11.714285714285714,37.285714285714285,108.42857142857143,118.0,214.0,182.71428571428572,177.42857142857142,94.71428571428571,155.28571428571428,128.42857142857142,156.14285714285714,109.28571428571429,75.28571428571429,72.57142857142857,67.0,26.0
Juru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.5714285714285714,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.8571428571428571,4.285714285714286,4.571428571428571,4.0,2.5714285714285716,0.42857142857142855
Gurjão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,1.7142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.8571428571428571
Queimadas,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.5714285714285714,2.7142857142857144,5.571428571428571,6.285714285714286,14.0,12.428571428571429,16.571428571428573,16.0,17.857142857142858,9.571428571428571,11.714285714285714,12.285714285714286,13.571428571428571,12.428571428571429,8.857142857142858,9.142857142857142
Sobrado,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,1.8571428571428572,1.2857142857142858,2.2857142857142856,1.7142857142857142,1.4285714285714286,1.4285714285714286,3.2857142857142856,4.428571428571429,3.7142857142857144,2.142857142857143,0.8571428571428571,0.14285714285714285,1.8571428571428572,0.0
Boa Ventura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,-0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0
Serra Branca,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.8571428571428571,0.5714285714285714,1.8571428571428572,3.4285714285714284,5.0,2.857142857142857,1.4285714285714286,2.142857142857143,2.142857142857143,1.0,1.2857142857142858,0.7142857142857143
Prata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,-0.14285714285714285,0.0,0.0,0.5714285714285714,-0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.0
São José dos Cordeiros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.5714285714285714,2.0,0.8571428571428571,0.5714285714285714,1.0,0.42857142857142855,0.0
São Domingos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.5714285714285714
Marcação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.14285714285714285,0.42857142857142855,1.7142857142857142,2.857142857142857,6.428571428571429,6.285714285714286,5.285714285714286,8.571428571428571,7.0,5.571428571428571,5.0,4.428571428571429
Cajazeiras,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,1.2857142857142858,1.8571428571428572,2.142857142857143,4.285714285714286,7.714285714285714,10.857142857142858,11.0,22.0,22.142857142857142,22.714285714285715,25.857142857142858,13.142857142857142,25.857142857142858,17.714285714285715,13.714285714285714,16.714285714285715,9.428571428571429
